yf_symbol,trailingPE,priceToBook,returnOnEquity,debtToEquity,coffeeCan,coffeeCanReasons,piotroskiScore,fetched_at
360ONE.NS,39.867107,4.94778,,161.977,False,,3,1788078984
3MINDIA.NS,67.44733,21.926163,,9.6,False,,5,1788078985
ABB.NS,100.25367,17.044565,0.19131,1.547,True,"Consistently profitable, compounding business: 30% average return on capital over 4 years, growing revenue 15% a year",5,1788078986
ACC.NS,12.919304,1.1937658,,2.085,False,,4,1788078987
ACMESOLAR.NS,39.84818,4.7115283,,393.194,False,,6,1788078988
AIAENG.NS,31.165907,4.922727,,0.128,False,,7,1788078989
APLAPOLLO.NS,49.499676,11.878821,,9.396,True,"Consistently profitable, compounding business: 25% average return on capital over 4 years, growing revenue 13% a year",8,1788078990
AUBANK.NS,28.53245,4.03052,,,False,,6,1788078990
AWL.NS,22.379704,2.431311,,10.621,False,,6,1788078992
AADHARHFC.NS,18.288044,2.721957,,255.574,False,,4,1788078993
AARTIIND.NS,36.90915,3.279997,,83.392,False,,7,1788078993
AAVAS.NS,14.726936,1.9998683,,310.553,False,,5,1788078994
ABBOTINDIA.NS,34.72222,11.650156,,3.602,False,,5,1788078995
ACE.NS,31.180971,6.7495914,,0.393,True,"Consistently profitable, compounding business: 32% average return on capital over 4 years, growing revenue 15% a year",5,1788078996
ACUTAAS.NS,93.86728,16.25158,,2.081,True,"Consistently profitable, compounding business: 16% average return on capital over 4 years, growing revenue 24% a year",6,1788078997
ADANIENSOL.NS,66.66948,7.4710636,,194.5,False,,7,1788078998
ADANIENT.NS,54.941914,5.0612507,,119.56,False,,5,1788078999
ADANIGREEN.NS,126.5444,11.194603,,346.548,False,,5,1788079000
ADANIPORTS.NS,29.238012,4.099689,,64.051,False,,5,1788079001
ADANIPOWER.NS,28.733784,6.3145547,,82.332,True,"Consistently profitable, compounding business: 20% average return on capital over 4 years, growing revenue 13% a year",4,1788079002
ATGL.NS,110.888504,14.3897085,,58.65,True,"Consistently profitable, compounding business: 17% average return on capital over 4 years, growing revenue 10% a year",5,1788079003
ABCAPITAL.NS,26.52387,3.0862362,,495.936,False,,3,1788079004
ABFRL.NS,,1.0939976,,98.822,False,,5,1788079005
ABLBL.NS,58.344826,7.312014,,213.719,False,,7,1788079006
ABREL.NS,,4.1455455,,152.371,False,,5,1788079007
ABSLAMC.NS,30.164076,7.487995,,1.577,True,"Consistently profitable, compounding business: 32% average return on capital over 4 years, growing revenue 15% a year",5,1788079008
